object_id,ebike,traditional,Female,Male,classic,hybrid,race,helmet,torso_angle,arm_angle
GH020529_1647,0,1,0,1,0,1,0,1,41.244637,29.765703
GH020529_2062,0,1,0,1,0,1,0,1,30.9705,43.34978
GH020529_2088,0,1,0,1,0,1,0,1,37.869106,37.948452
GH020529_467,0,1,0,1,0,1,0,1,46.658436,39.48241
GH020531_191,0,1,0,1,0,1,0,1,52.65937,23.947556
GH020531_3061,1,0,0,1,0,1,0,0,42.732944,28.436926
GH020531_718,0,1,0,1,0,1,0,0,37.674923,33.142845
GH030528_4085,0,1,0,1,0,1,0,1,24.909393,34.815735
GH010528_14666,0,1,1,0,0,1,0,0,31.872038,30.792297
GH010528_16765,1,0,1,0,0,1,0,0,24.290308,68.69551
GH010528_3089,0,1,1,0,0,1,0,1,32.11781,47.171486
GH010528_5956,1,0,1,0,0,1,0,1,17.190948,51.562313
GH010529_14631,1,0,1,0,0,1,0,1,16.390839,54.39321
GH010529_1663,0,1,1,0,0,1,0,1,41.602688,46.40201
GH010529_6149,0,1,1,0,0,1,0,1,28.68595,40.858017
GH010529_6166,0,1,1,0,0,1,0,0,26.66108,73.89554
GH010529_6663,0,1,1,0,0,1,0,1,26.36475,50.21688
GH010529_7243,0,1,1,0,0,1,0,1,27.617153,51.2121
GH010531_10722,0,1,1,0,0,1,0,0,25.320353,43.149334
GH010531_11709,1,0,1,0,0,1,0,1,20.421535,63.812195
GH010531_5226,1,0,1,0,0,1,0,1,23.69189,50.533894
GH010531_7927,1,0,1,0,0,1,0,1,25.441387,41.552353
GH010531_9839,0,1,1,0,0,1,0,0,45.979576,25.226412
GH010531_9876,0,1,1,0,0,1,0,1,18.597538,59.863605
GH020522_11734,0,1,1,0,0,1,0,1,33.88777,43.760918
GH020522_11760,1,0,1,0,0,1,0,1,22.061878,56.15036
GH020522_14698,0,1,1,0,0,1,0,1,37.714645,35.70146
GH020522_5024,0,1,1,0,0,1,0,1,39.634914,36.631138
GH020522_7758,0,1,1,0,0,1,0,1,29.709234,40.27133
GH020522_7983,1,0,1,0,0,1,0,1,25.984934,36.58455
GH020528_1000,1,0,1,0,0,1,0,1,13.901124,36.50329
GH020528_12873,0,1,1,0,0,1,0,1,23.160664,41.555584
GH020528_17501,0,1,1,0,0,1,0,1,45.28944,45.867466
GH020529_318,0,1,1,0,0,1,0,1,29.699362,35.971027
GH020529_912,0,1,1,0,0,1,0,1,30.98941,39.62172
GH020531_175,1,0,1,0,0,1,0,1,19.87426,45.411144
GH020531_4471,0,1,1,0,0,1,0,1,24.393026,64.64775
GH030528_1080,0,1,1,0,0,1,0,1,26.262285,39.725876
GH030528_3650,1,0,1,0,0,1,0,1,17.639551,48.55756
GH010527_10683,0,1,0,1,1,0,0,0,24.223284,40.66995
GH010528_12770,0,1,0,1,1,0,0,0,20.2106,39.010284
GH010528_16647,0,1,0,1,1,0,0,0,23.56614,29.533146
GH010528_16904,1,0,0,1,1,0,0,1,20.826347,39.117046
GH010528_5893,0,1,0,1,1,0,0,1,23.903685,32.07414
GH010528_6179,0,1,0,1,1,0,0,1,23.542315,34.88508
GH010529_17069,0,1,0,1,1,0,0,0,28.561134,34.625435
GH010529_6829,0,1,0,1,1,0,0,1,20.40199,46.138203
GH010529_7297,0,1,0,1,1,0,0,0,21.486591,47.637707
GH010531_10670,0,1,0,1,1,0,0,0,26.704853,42.1026
GH010531_13224,0,1,0,1,1,0,0,1,14.00817,56.0922
GH010531_13620,0,1,0,1,1,0,0,0,32.736553,19.058846
GH010531_1402,0,1,0,1,1,0,0,0,3.383156,40.554882
GH010531_15555,1,0,0,1,1,0,0,1,11.222509,47.797707
GH010531_15682,0,1,0,1,1,0,0,1,24.503284,36.805046
GH010531_15854,0,1,0,1,1,0,0,0,14.228122,40.67044
GH010531_2796,1,0,0,1,1,0,0,1,3.6358807,65.548035
GH010531_3796,1,0,0,1,1,0,0,1,4.0685678,48.821594
GH010531_4283,1,0,0,1,1,0,0,1,15.621566,43.43345
GH010531_5447,1,0,0,1,1,0,0,0,17.545418,39.47289
GH010531_5718,0,1,0,1,1,0,0,0,16.82929,41.699356
GH010531_7865,1,0,0,1,1,0,0,1,12.634415,30.065905
GH020522_10513,0,1,0,1,1,0,0,0,17.502422,37.10373
