label,x,y,confidence
nose,714.13196,413.62628,0.954367
left_eye,717.489,407.32568,0.9741778
right_eye,0.0,0.0,0.35361028
left_ear,731.8036,407.64893,0.9810987
right_ear,0.0,0.0,0.032983113
left_shoulder,743.6344,433.38776,0.9979989
right_shoulder,748.6035,434.58572,0.9530826
left_elbow,714.666,475.39856,0.9946582
right_elbow,0.0,0.0,0.36426508
left_wrist,678.7132,493.38922,0.9841202
right_wrist,0.0,0.0,0.419945
left_hip,770.71277,510.64307,0.99441165
right_hip,774.4105,511.28058,0.9716107
left_knee,715.9,530.2488,0.99301976
right_knee,739.5596,548.9811,0.94454116
left_ankle,742.0134,576.1689,0.9780713
right_ankle,749.92847,605.0032,0.8930253
torso_angle,18.597538,,
arm_angle,59.863605,,
