label,x,y,confidence
nose,866.0297,394.8075,0.8895407
left_eye,0.0,0.0,0.24257365
right_eye,863.2722,384.45947,0.9524991
left_ear,0.0,0.0,0.044707764
right_ear,840.93335,381.1353,0.97725075
left_shoulder,786.3213,412.3623,0.8905655
right_shoulder,810.9842,418.8103,0.9968803
left_elbow,0.0,0.0,0.28131837
right_elbow,836.771,497.56616,0.9908659
left_wrist,0.0,0.0,0.32167926
right_wrist,880.9063,547.92957,0.9768375
left_hip,709.9702,515.77185,0.9657817
right_hip,720.29285,516.9783,0.9945221
left_knee,792.21277,605.2245,0.9768811
right_knee,786.317,598.0995,0.99692804
left_ankle,761.27606,698.7405,0.97194505
right_ankle,708.27234,664.0917,0.99310327
torso_angle,42.732944,,
arm_angle,28.436926,,
