label,x,y,confidence
nose,908.6726,345.80795,0.7896855
left_eye,0.0,0.0,0.110441305
right_eye,906.53485,333.16183,0.8216645
left_ear,0.0,0.0,0.048265908
right_ear,884.96985,329.74927,0.953928
left_shoulder,802.6778,379.1349,0.9882599
right_shoulder,858.949,380.9305,0.9965487
left_elbow,799.78436,475.70734,0.9532824
right_elbow,875.93976,484.96976,0.99493176
left_wrist,864.92334,535.83276,0.950044
right_wrist,940.99457,541.3756,0.9916888
left_hip,708.108,536.69543,0.9952858
right_hip,737.7376,537.01965,0.99687046
left_knee,835.7057,668.60144,0.9929501
right_knee,839.2102,664.2563,0.9959365
left_ankle,783.0859,805.59143,0.9701662
right_ankle,739.8356,779.9533,0.9772874
torso_angle,37.8312,,
arm_angle,27.0835,,
