label,x,y,confidence
nose,1378.5106,286.3756,0.82633406
left_eye,0.0,0.0,0.22782254
right_eye,1373.0101,261.1043,0.81855166
left_ear,0.0,0.0,0.121293135
right_ear,1326.2764,250.99246,0.92647636
left_shoulder,1205.9606,311.8746,0.9756025
right_shoulder,1275.3525,324.4416,0.9927846
left_elbow,1254.7256,491.73523,0.91936016
right_elbow,1379.8381,466.94623,0.9910609
left_wrist,1367.6443,598.3143,0.9186118
right_wrist,1562.6018,590.70294,0.9872459
left_hip,1040.2825,618.7587,0.96705306
right_hip,1077.3268,639.90375,0.97858036
left_knee,1206.9066,806.8374,0.8432895
right_knee,1244.701,908.2264,0.9019527
left_ankle,0.0,0.0,0.39379194
right_ankle,0.0,0.0,0.42693266
torso_angle,32.11781,,
arm_angle,47.171486,,
