label,x,y,confidence
nose,1097.4012,279.37305,0.91648316
left_eye,1110.718,253.57777,0.90914136
right_eye,0.0,0.0,0.3558138
left_ear,1197.3077,253.41115,0.9472686
right_ear,0.0,0.0,0.09005854
left_shoulder,1308.7004,353.80115,0.9942345
right_shoulder,1219.397,378.16614,0.9843286
left_elbow,1217.5398,559.0887,0.99259275
right_elbow,1121.2029,554.4652,0.95844656
left_wrist,1024.6501,722.6791,0.99144125
right_wrist,980.2824,677.8963,0.9627165
left_hip,1564.0261,586.41754,0.97582257
right_hip,1496.6315,607.24426,0.96678233
left_knee,1313.0326,720.18677,0.9409091
right_knee,1282.1421,810.74286,0.91113126
left_ankle,1440.2434,983.3618,0.6211743
right_ankle,1409.023,1022.65234,0.57328737
torso_angle,50.433167,,
arm_angle,38.58168,,
