label,x,y,confidence
nose,1085.7694,245.96553,0.9742963
left_eye,1094.2246,232.4399,0.98326576
right_eye,0.0,0.0,0.30025494
left_ear,1130.6832,231.37442,0.98643655
right_ear,0.0,0.0,0.008401235
left_shoulder,1163.5282,273.06906,0.99533975
right_shoulder,1133.6066,296.87943,0.98709303
left_elbow,1164.0585,354.94574,0.9915529
right_elbow,1093.8268,375.85156,0.9606512
left_wrist,1113.537,422.75128,0.9932574
right_wrist,1053.5383,436.88068,0.98099214
left_hip,1267.0898,400.57938,0.99751246
right_hip,1241.7153,420.17712,0.9957973
left_knee,1171.9849,470.8538,0.99858487
right_knee,1161.7526,524.37585,0.99705756
left_ankle,1251.6802,574.80084,0.9944753
right_ankle,1181.2013,669.3342,0.9905421
torso_angle,41.244637,,
arm_angle,29.765703,,
