label,x,y,confidence
nose,588.72894,393.45618,0.9156999
left_eye,592.2671,387.38287,0.95826745
right_eye,0.0,0.0,0.24829374
left_ear,608.4467,386.99808,0.9768784
right_ear,0.0,0.0,0.021815248
left_shoulder,632.98755,414.3738,0.996838
right_shoulder,627.0897,413.21155,0.96455395
left_elbow,611.713,463.8178,0.9926422
right_elbow,611.1747,461.75073,0.60886693
left_wrist,582.6845,493.3211,0.97979283
right_wrist,587.4691,487.81708,0.6151441
left_hip,672.27106,487.2009,0.99362177
right_hip,665.29974,486.1322,0.9789114
left_knee,634.28564,527.79376,0.99328786
right_knee,622.25305,528.0099,0.9694462
left_ankle,676.4815,567.3015,0.98189455
right_ankle,643.0867,587.88153,0.943873
torso_angle,27.654291,,
arm_angle,27.97135,,
