label,x,y,confidence
nose,1020.57495,338.70126,0.9064973
left_eye,1026.242,316.28204,0.9485884
right_eye,0.0,0.0,0.10824681
left_ear,1085.2234,305.8916,0.98618746
right_ear,0.0,0.0,0.011017462
left_shoulder,1207.373,392.15323,0.9979557
right_shoulder,1130.5281,393.12054,0.9933408
left_elbow,1216.0271,566.14294,0.99758565
right_elbow,1093.2542,532.004,0.971639
left_wrist,1065.4734,646.2461,0.9942882
right_wrist,983.9676,588.74994,0.96569264
left_hip,1356.8207,617.5827,0.99744105
right_hip,1291.568,605.5123,0.994921
left_knee,1192.7625,819.7749,0.9890343
right_knee,1115.7844,759.3303,0.9648778
left_ankle,1322.5914,998.1601,0.8645478
right_ankle,1184.9121,935.16785,0.7717472
torso_angle,37.17017,,
arm_angle,36.839596,,
