label,x,y,confidence
nose,848.93604,328.60022,0.9298103
left_eye,0.0,0.0,0.2892966
right_eye,842.8313,318.11453,0.9615281
left_ear,0.0,0.0,0.048420668
right_ear,812.3707,317.9485,0.9828015
left_shoulder,783.2309,350.743,0.9744682
right_shoulder,780.4114,370.1773,0.99796295
left_elbow,823.3826,432.3924,0.7358197
right_elbow,830.7366,444.80334,0.9943046
left_wrist,879.0815,483.0677,0.76691306
right_wrist,884.4058,494.494,0.9895096
left_hip,709.1511,484.28476,0.98734564
right_hip,704.84314,501.99683,0.99628675
left_knee,798.7357,552.0292,0.9903419
right_knee,804.889,602.2666,0.9979095
left_ankle,738.277,642.1937,0.9776514
right_ankle,780.44073,742.9603,0.9907905
torso_angle,29.824368,,
arm_angle,39.913437,,
