label,x,y,confidence
nose,620.846,167.13432,0.8879668
left_eye,0.0,0.0,0.1632244
right_eye,621.3482,150.63376,0.9030583
left_ear,0.0,0.0,0.029624932
right_ear,584.03064,139.39844,0.9511399
left_shoulder,528.0168,194.13779,0.9802392
right_shoulder,512.70404,176.7344,0.9926795
left_elbow,569.64795,309.4388,0.96589124
right_elbow,520.54926,306.65863,0.99605227
left_wrist,621.91174,393.2231,0.98183167
right_wrist,592.5459,412.90274,0.9970795
left_hip,378.21414,374.8797,0.9783715
right_hip,370.06097,366.65433,0.98251003
left_knee,493.2875,490.5282,0.9333277
right_knee,551.7998,465.95123,0.96160287
left_ankle,444.29736,607.9381,0.61333835
right_ankle,482.48145,597.32465,0.69427663
torso_angle,36.909096,,
arm_angle,18.678944,,
