label,x,y,confidence
nose,884.28125,365.58554,0.68514216
left_eye,887.88336,359.299,0.7987844
right_eye,0.0,0.0,0.07713418
left_ear,903.1,360.3936,0.9373384
right_ear,0.0,0.0,0.028024703
left_shoulder,920.7317,392.11267,0.99427265
right_shoulder,933.1115,390.56958,0.9022704
left_elbow,890.15564,449.94116,0.99093235
right_elbow,0.0,0.0,0.32511994
left_wrist,835.82605,471.0976,0.9738616
right_wrist,0.0,0.0,0.34076443
left_hip,949.3951,497.22427,0.98874795
right_hip,958.33203,493.5021,0.94550806
left_knee,887.3739,531.6753,0.9909813
right_knee,893.73596,528.0709,0.9257388
left_ankle,910.6533,614.1084,0.97263765
right_ankle,902.4376,616.1128,0.8690807
torso_angle,13.767384,,
arm_angle,67.28743,,
