label,x,y,confidence
nose,1191.6699,335.6109,0.96888775
left_eye,1205.8098,320.02673,0.97689134
right_eye,0.0,0.0,0.28642488
left_ear,1261.9011,325.84314,0.9839273
right_ear,0.0,0.0,0.01713511
left_shoulder,1325.3901,404.59802,0.99728405
right_shoulder,1251.612,400.86484,0.9956149
left_elbow,1246.8164,514.31104,0.99666214
right_elbow,1150.8682,488.2511,0.9864979
left_wrist,1095.3219,577.5192,0.9963045
right_wrist,1044.0927,543.3209,0.9893261
left_hip,1395.8323,634.3574,0.997783
right_hip,1344.1501,623.0602,0.9970187
left_knee,1184.0277,726.7986,0.9971727
right_knee,1177.769,717.401,0.99284816
left_ankle,1220.2848,920.4963,0.97303355
right_ankle,1252.7242,863.8734,0.95310956
torso_angle,22.610352,,
arm_angle,55.53153,,
