label,x,y,confidence
nose,929.931,344.06464,0.85165614
left_eye,0.0,0.0,0.077433676
right_eye,935.7054,324.32382,0.9246644
left_ear,0.0,0.0,0.039440162
right_ear,907.9967,295.93512,0.9921072
left_shoulder,776.78955,321.616,0.97117513
right_shoulder,839.92255,360.2407,0.9983577
left_elbow,691.6642,464.54663,0.60564566
right_elbow,893.8113,495.66522,0.99334323
left_wrist,682.8195,572.3088,0.5968308
right_wrist,996.0837,570.27325,0.98371917
left_hip,647.6504,528.124,0.98864716
right_hip,676.36365,557.7043,0.9971745
left_knee,800.36096,629.08575,0.9946384
right_knee,825.37415,704.16235,0.9990288
left_ankle,685.98737,747.93274,0.98939544
right_ankle,775.6986,907.32587,0.99558556
torso_angle,39.634914,,
arm_angle,36.631138,,
