label,x,y,confidence
nose,788.6301,371.28323,0.97187704
left_eye,794.62524,366.64514,0.97972244
right_eye,789.755,365.9979,0.5614866
left_ear,810.2583,371.2268,0.9659294
right_ear,0.0,0.0,0.037566986
left_shoulder,815.278,401.594,0.9963496
right_shoulder,802.0216,399.65924,0.98156285
left_elbow,777.86304,434.66867,0.9944301
right_elbow,777.81177,437.41306,0.8581057
left_wrist,736.27625,434.07285,0.9932376
right_wrist,740.27515,445.51654,0.8964612
left_hip,815.4429,485.97284,0.9948242
right_hip,801.3911,477.89548,0.98626167
left_knee,783.2711,528.5033,0.9954856
right_knee,757.0205,502.82913,0.9827329
left_ankle,811.3462,601.14856,0.9847045
right_ankle,792.19995,553.8379,0.9597684
torso_angle,0.4618246,,
arm_angle,53.3998,,
