label,x,y,confidence
nose,1184.4585,399.69232,0.96536046
left_eye,1188.075,395.10352,0.9837016
right_eye,0.0,0.0,0.45830283
left_ear,1200.9438,396.36115,0.98062986
right_ear,0.0,0.0,0.0283896
left_shoulder,1216.6598,415.23492,0.9971547
right_shoulder,1208.288,417.67676,0.94629383
left_elbow,1192.7018,448.563,0.99537235
right_elbow,0.0,0.0,0.46569517
left_wrist,1156.8925,468.61792,0.99104565
right_wrist,1161.5431,472.08038,0.57252014
left_hip,1239.5862,475.27798,0.9942773
right_hip,1234.0413,474.9182,0.97094774
left_knee,1187.9142,492.82965,0.99675107
right_knee,1190.8594,498.3186,0.97200274
left_ankle,1199.093,548.44495,0.99255157
right_ankle,1206.9531,550.20654,0.9607785
torso_angle,24.223284,,
arm_angle,40.66995,,
