label,x,y,confidence
nose,0.0,0.0,0.3512064
left_eye,0.0,0.0,0.017983196
right_eye,0.0,0.0,0.425197
left_ear,0.0,0.0,0.06520825
right_ear,1054.1746,411.43756,0.9528576
left_shoulder,962.41296,443.54306,0.9694912
right_shoulder,1014.3002,471.39944,0.99898154
left_elbow,941.60706,561.53455,0.6904638
right_elbow,1025.0105,593.8585,0.998173
left_wrist,989.26245,631.7387,0.5695073
right_wrist,1093.9646,646.3514,0.99146163
left_hip,851.978,595.53485,0.9933028
right_hip,890.43445,611.75916,0.9987747
left_knee,948.96497,675.84393,0.987181
right_knee,1014.5056,713.1583,0.9982528
left_ankle,855.09863,774.8619,0.9680483
right_ankle,965.8266,869.2703,0.99095094
torso_angle,41.428005,,
arm_angle,24.48216,,
