label,x,y,confidence
nose,1229.5662,303.28906,0.9862303
left_eye,1245.911,288.62503,0.99185526
right_eye,0.0,0.0,0.43556422
left_ear,1298.4208,298.49463,0.99170625
right_ear,0.0,0.0,0.009771023
left_shoulder,1319.9584,384.66367,0.99721944
right_shoulder,1260.5646,394.39008,0.9896568
left_elbow,1272.1562,477.9244,0.996384
right_elbow,1182.1599,471.5182,0.9679409
left_wrist,1159.0535,507.26395,0.99703455
right_wrist,1081.8887,495.21396,0.98277414
left_hip,1299.4229,595.5581,0.9969644
right_hip,1261.8334,594.6115,0.993582
left_knee,1154.5017,659.8442,0.9947056
right_knee,1163.658,678.08,0.9833317
left_ankle,1212.9199,807.78455,0.95949954
right_ankle,1236.2047,805.15076,0.9117273
torso_angle,0.3631561,,
arm_angle,60.56468,,
