label,x,y,confidence
nose,844.0038,211.94147,0.86295325
left_eye,849.3197,179.6676,0.89329594
right_eye,0.0,0.0,0.23329659
left_ear,940.0875,162.86952,0.953928
right_ear,0.0,0.0,0.06160928
left_shoulder,1105.2104,230.7818,0.9935288
right_shoulder,995.10156,283.41522,0.9658503
left_elbow,1000.1409,410.07623,0.98959243
right_elbow,846.7799,463.9651,0.8795135
left_wrist,774.05786,584.5973,0.979817
right_wrist,700.87585,568.8639,0.851586
left_hip,1381.04,567.67346,0.96904826
right_hip,1296.7212,582.00275,0.9454522
left_knee,1048.834,737.3767,0.9012641
right_knee,1014.4184,775.4046,0.8148032
left_ankle,0.0,0.0,0.4415849
right_ankle,0.0,0.0,0.36372805
torso_angle,45.28944,,
arm_angle,45.867466,,
