label,x,y,confidence
nose,772.27234,380.4756,0.9164943
left_eye,775.54486,373.6226,0.9611867
right_eye,0.0,0.0,0.18712118
left_ear,791.7117,376.29822,0.9850603
right_ear,0.0,0.0,0.024438333
left_shoulder,803.45703,402.8283,0.99780196
right_shoulder,823.6866,405.08633,0.9609035
left_elbow,778.93933,446.52356,0.9929779
right_elbow,0.0,0.0,0.39506927
left_wrist,742.37305,472.4101,0.97950554
right_wrist,0.0,0.0,0.44596988
left_hip,836.45636,485.88483,0.9954697
right_hip,854.7666,488.56192,0.97995114
left_knee,780.85095,516.37805,0.99542195
right_knee,822.3294,543.7572,0.96972835
left_ankle,820.4979,563.67755,0.98613745
right_ankle,825.8705,599.61786,0.94022703
torso_angle,20.421535,,
arm_angle,63.812195,,
