label,x,y,confidence
nose,911.36255,415.26407,0.92450774
left_eye,0.0,0.0,0.18715574
right_eye,905.84827,401.69354,0.97159594
left_ear,0.0,0.0,0.045499314
right_ear,865.2387,397.2995,0.9899368
left_shoulder,763.53937,426.78827,0.8591615
right_shoulder,833.8698,449.96216,0.99781054
left_elbow,0.0,0.0,0.11763416
right_elbow,891.74243,552.6443,0.99274397
left_wrist,0.0,0.0,0.14997156
right_wrist,972.3041,613.3639,0.97891927
left_hip,686.155,603.2438,0.9323052
right_hip,740.6318,613.3646,0.9925269
left_knee,779.4807,720.9944,0.94224995
right_knee,876.6883,699.07605,0.9956281
left_ankle,697.87964,846.6052,0.88127553
right_ankle,812.1542,843.7894,0.9797249
torso_angle,29.709234,,
arm_angle,40.27133,,
