label,x,y,confidence
nose,974.2597,351.59637,0.9613463
left_eye,0.0,0.0,0.49232647
right_eye,968.8905,336.36676,0.9822139
left_ear,0.0,0.0,0.05349976
right_ear,940.053,324.61725,0.9803642
left_shoulder,907.2607,376.49954,0.9192143
right_shoulder,916.2856,365.32635,0.9974826
left_elbow,0.0,0.0,0.31327832
right_elbow,944.937,456.90628,0.9906012
left_wrist,0.0,0.0,0.3698905
right_wrist,1005.20605,514.90784,0.97677827
left_hip,808.2921,492.07343,0.97642636
right_hip,809.7638,484.148,0.9959447
left_knee,889.7943,588.50037,0.98818237
right_knee,887.04474,565.9847,0.9983646
left_ankle,868.05164,705.90173,0.9833784
right_ankle,807.79456,659.7436,0.9959091
torso_angle,41.87573,,
arm_angle,30.72987,,
