label,x,y,confidence
nose,1232.5071,324.68317,0.7198398
left_eye,0.0,0.0,0.0314251
right_eye,1236.9785,304.8054,0.79055035
left_ear,0.0,0.0,0.013874141
right_ear,1196.5509,271.6114,0.9559079
left_shoulder,1059.3622,289.0081,0.9736363
right_shoulder,1134.7498,315.37653,0.99188554
left_elbow,1101.919,480.15942,0.9268497
right_elbow,1239.7089,497.0619,0.99416167
left_wrist,1228.6892,583.5021,0.94352996
right_wrist,1362.8794,592.2931,0.9909338
left_hip,873.5704,509.93134,0.9633955
right_hip,908.69476,528.7098,0.9709074
left_knee,1072.811,683.8969,0.9655177
right_knee,1077.1628,716.8053,0.980749
left_ankle,1035.7136,904.6935,0.8288572
right_ankle,1039.9515,955.3365,0.8533447
torso_angle,46.658436,,
arm_angle,39.48241,,
