label,x,y,confidence
nose,869.53894,365.20816,0.9485807
left_eye,0.0,0.0,0.34264863
right_eye,865.3623,354.91287,0.96512926
left_ear,0.0,0.0,0.053184748
right_ear,840.0989,356.0857,0.97288394
left_shoulder,806.37726,396.99792,0.9749076
right_shoulder,812.08606,398.3708,0.9979614
left_elbow,837.4562,473.31256,0.8744435
right_elbow,840.3159,479.48657,0.9980274
left_wrist,886.2973,505.3429,0.93363774
right_wrist,894.6118,524.7583,0.99795294
left_hip,726.41766,505.43427,0.98160386
right_hip,730.2036,504.41016,0.9945089
left_knee,803.74927,574.5009,0.9819141
right_knee,829.31433,554.26434,0.9958144
left_ankle,757.42126,655.36115,0.9424267
right_ankle,778.6467,648.8334,0.9783111
torso_angle,37.674923,,
arm_angle,33.142845,,
