label,x,y,confidence
nose,847.4634,379.59897,0.8284385
left_eye,0.0,0.0,0.18837844
right_eye,845.3207,369.16672,0.9108526
left_ear,0.0,0.0,0.050788727
right_ear,825.5642,365.1159,0.96379226
left_shoulder,781.1355,403.7414,0.8662192
right_shoulder,800.0021,403.15668,0.9974189
left_elbow,0.0,0.0,0.31750363
right_elbow,839.63354,467.65485,0.99611866
left_wrist,0.0,0.0,0.35799563
right_wrist,899.4697,495.70526,0.98975056
left_hip,762.0584,525.4918,0.92926466
right_hip,771.1671,530.4595,0.990949
left_knee,840.5868,583.1347,0.88156724
right_knee,827.7781,591.2779,0.98803514
left_ankle,812.629,661.1578,0.81495243
right_ankle,794.9727,682.18555,0.9607068
torso_angle,12.762525,,
arm_angle,47.063686,,
