label,x,y,confidence
nose,976.47095,118.01692,0.8784364
left_eye,991.32983,94.37073,0.92575604
right_eye,0.0,0.0,0.2594335
left_ear,1065.0253,103.43967,0.96765536
right_ear,0.0,0.0,0.06906564
left_shoulder,1098.6077,217.137,0.99306893
right_shoulder,1135.1659,223.45226,0.8951006
left_elbow,994.8364,376.4475,0.98754764
right_elbow,1024.7031,378.59207,0.5323313
left_wrist,827.8755,474.03726,0.973725
right_wrist,0.0,0.0,0.47505304
left_hip,1140.0623,555.8095,0.9801784
right_hip,1175.8988,548.06335,0.93315274
left_knee,888.1803,670.41516,0.98132515
right_knee,954.1195,712.85767,0.93403524
left_ankle,913.67413,947.8981,0.914359
right_ankle,1044.2915,954.17194,0.8354193
torso_angle,7.1522017,,
arm_angle,78.86396,,
