label,x,y,confidence
nose,705.11633,359.38577,0.9824484
left_eye,709.6327,352.4085,0.9935248
right_eye,0.0,0.0,0.3979324
left_ear,729.5246,351.87158,0.9949191
right_ear,0.0,0.0,0.008954497
left_shoulder,745.809,379.10092,0.99850583
right_shoulder,741.52167,380.9256,0.9841517
left_elbow,717.31885,429.01144,0.99576133
right_elbow,725.3317,425.61374,0.7289426
left_wrist,683.8203,466.40936,0.9922052
right_wrist,699.7914,449.4527,0.79487926
left_hip,784.8122,459.78818,0.9982268
right_hip,774.3404,455.3733,0.9939021
left_knee,750.45245,522.3587,0.99940324
right_knee,725.53326,504.0369,0.9970504
left_ankle,766.3932,596.4232,0.99847347
right_ankle,762.2447,550.55853,0.99512887
torso_angle,23.78929,,
arm_angle,31.339754,,
