label,x,y,confidence
nose,898.1277,350.64154,0.9490833
left_eye,0.0,0.0,0.3268975
right_eye,891.9622,333.38916,0.97725576
left_ear,0.0,0.0,0.05073379
right_ear,850.27026,324.83975,0.98899746
left_shoulder,792.3894,382.31827,0.9594053
right_shoulder,825.2866,378.36353,0.99786466
left_elbow,795.4451,474.5712,0.6334998
right_elbow,843.78076,475.76083,0.99443
left_wrist,855.8164,517.44446,0.71782696
right_wrist,918.5784,529.46423,0.98929673
left_hip,675.826,536.9171,0.97676134
right_hip,705.3307,533.5441,0.99392456
left_knee,724.563,664.00024,0.9689117
right_knee,823.7734,633.5308,0.9932805
left_ankle,722.9533,770.957,0.8797305
right_ankle,749.6287,762.45825,0.9561108
torso_angle,37.70433,,
arm_angle,31.69179,,
