label,x,y,confidence
nose,883.09827,412.29944,0.90791243
left_eye,0.0,0.0,0.26818037
right_eye,883.15155,398.93427,0.9621845
left_ear,0.0,0.0,0.03272357
right_ear,861.63354,383.16714,0.9788673
left_shoulder,821.07263,415.2463,0.9032094
right_shoulder,813.1736,412.3853,0.99686086
left_elbow,0.0,0.0,0.3619686
right_elbow,835.994,493.30707,0.99256
left_wrist,0.0,0.0,0.40485373
right_wrist,900.871,540.809,0.9830058
left_hip,726.1158,512.677,0.96211416
right_hip,712.19446,521.1457,0.9934237
left_knee,813.3999,553.47345,0.9717164
right_knee,756.32153,614.2992,0.9963697
left_ankle,757.1781,646.1088,0.9682215
right_ankle,713.3824,735.449,0.9907672
torso_angle,42.87532,,
arm_angle,34.32821,,
