label,x,y,confidence
nose,1140.205,369.42728,0.976727
left_eye,1151.2158,353.64606,0.98682004
right_eye,0.0,0.0,0.24415141
left_ear,1199.7549,356.16522,0.99475807
right_ear,0.0,0.0,0.008930287
left_shoulder,1262.3457,426.7072,0.9985495
right_shoulder,1181.175,440.2248,0.99647325
left_elbow,1206.8197,525.8158,0.9970784
right_elbow,1139.2496,533.9771,0.98569065
left_wrist,1097.9359,587.3727,0.99636865
right_wrist,1080.8002,600.3966,0.98834443
left_hip,1324.5227,630.9806,0.9983725
right_hip,1263.4628,625.8854,0.99736905
left_knee,1248.0225,784.51337,0.9984127
right_knee,1169.4128,740.8063,0.99609286
left_ankle,1255.4082,969.6407,0.98604244
right_ankle,1262.56,849.266,0.97938687
torso_angle,23.903685,,
arm_angle,32.07414,,
