label,x,y,confidence
nose,1200.0802,434.83527,0.954529
left_eye,1205.3235,426.2482,0.9642282
right_eye,0.0,0.0,0.3854918
left_ear,1230.6069,424.75165,0.9638893
right_ear,0.0,0.0,0.030757006
left_shoulder,1274.8271,461.2674,0.99416006
right_shoulder,1245.6018,462.95996,0.978501
left_elbow,1281.1573,531.15985,0.99083483
right_elbow,1241.0278,521.5554,0.9313069
left_wrist,1220.7485,560.3128,0.98942775
right_wrist,1190.7361,541.6518,0.9524818
left_hip,1311.637,570.9227,0.9935923
right_hip,1292.6422,570.92737,0.9869196
left_knee,1231.8828,622.88104,0.99113256
right_knee,1233.7805,638.48157,0.9776338
left_ankle,1265.7992,717.4044,0.9668611
right_ankle,1285.3269,715.43555,0.93868643
torso_angle,23.542315,,
arm_angle,34.88508,,
