label,x,y,confidence
nose,938.2368,374.92648,0.9522482
left_eye,0.0,0.0,0.244889
right_eye,934.5696,359.3453,0.9773515
left_ear,0.0,0.0,0.031487957
right_ear,892.23413,352.66797,0.9886276
left_shoulder,806.93463,401.46906,0.9556938
right_shoulder,856.53204,412.24103,0.99826604
left_elbow,836.94824,533.55206,0.61730224
right_elbow,913.04846,548.4392,0.9969176
left_wrist,915.88586,596.80786,0.7177803
right_wrist,1013.3723,619.59296,0.9938291
left_hip,752.40454,617.39825,0.9863572
right_hip,789.17236,625.8472,0.9970651
left_knee,869.7146,732.0952,0.98451173
right_knee,937.86383,719.7515,0.99749386
left_ankle,780.1192,883.6564,0.9391275
right_ankle,889.2339,891.4824,0.9821584
torso_angle,17.502422,,
arm_angle,37.10373,,
