label,x,y,confidence
nose,913.2268,363.62134,0.91905046
left_eye,0.0,0.0,0.34681514
right_eye,909.4575,354.4981,0.96492565
left_ear,0.0,0.0,0.04906695
right_ear,889.0006,350.6185,0.9769643
left_shoulder,862.5669,382.8924,0.87366253
right_shoulder,865.8633,391.19394,0.9968856
left_elbow,0.0,0.0,0.2162135
right_elbow,909.6626,455.9541,0.9904482
left_wrist,0.0,0.0,0.23265912
right_wrist,973.99963,469.76816,0.97666377
left_hip,847.29663,497.62582,0.9471872
right_hip,844.1006,515.9615,0.9928653
left_knee,924.2875,521.0281,0.9586784
right_knee,897.76483,599.4238,0.9958597
left_ankle,901.8932,615.5554,0.9593393
right_ankle,865.9485,696.75385,0.99035513
torso_angle,9.894336,,
arm_angle,53.997032,,
