label,x,y,confidence
nose,1228.2412,281.08997,0.98514646
left_eye,1241.5066,258.86588,0.99066365
right_eye,0.0,0.0,0.41093078
left_ear,1296.2623,260.0646,0.99252605
right_ear,0.0,0.0,0.015157255
left_shoulder,1355.5635,359.32224,0.9967855
right_shoulder,1279.2677,365.96722,0.99687815
left_elbow,1262.0656,484.85706,0.993397
right_elbow,1189.4589,489.76147,0.9881633
left_wrist,1128.5122,588.4115,0.99343807
right_wrist,1100.4835,585.1447,0.9885965
left_hip,1426.0822,617.59863,0.9960836
right_hip,1358.9204,593.0591,0.9959579
left_knee,1342.5713,830.0125,0.99108803
right_knee,1189.2051,672.92236,0.9852895
left_ankle,1399.2769,985.694,0.89442843
right_ankle,1281.7256,849.04486,0.9044255
torso_angle,19.328388,,
arm_angle,39.204292,,
