label,x,y,confidence
nose,1150.45,478.9379,0.96612006
left_eye,1160.3245,469.26352,0.97758853
right_eye,0.0,0.0,0.28060567
left_ear,1193.7815,477.3231,0.9886811
right_ear,0.0,0.0,0.015571399
left_shoulder,1222.3883,528.9432,0.9967962
right_shoulder,1191.2943,530.3117,0.9911635
left_elbow,1155.6882,593.7997,0.9958334
right_elbow,1126.5591,589.43085,0.97743326
left_wrist,1076.6348,640.5265,0.99516064
right_wrist,1060.8868,628.43396,0.9841515
left_hip,1272.271,669.8026,0.99592423
right_hip,1251.5303,666.77625,0.99302846
left_knee,1136.4197,723.10315,0.98943055
right_knee,1148.7059,722.78906,0.9744476
left_ankle,1144.7485,857.83026,0.9240576
right_ankle,1198.5006,852.3287,0.8751047
torso_angle,23.816849,,
arm_angle,53.041164,,
