label,x,y,confidence
nose,1114.5428,373.64655,0.9783281
left_eye,1117.46,354.79572,0.98879856
right_eye,0.0,0.0,0.23046151
left_ear,1160.6998,336.92548,0.98983604
right_ear,0.0,0.0,0.0040737516
left_shoulder,1231.2665,385.32037,0.99648064
right_shoulder,1208.3135,393.39398,0.97851175
left_elbow,1160.644,498.2556,0.9967168
right_elbow,1153.947,494.02057,0.9352014
left_wrist,1072.2,580.5741,0.9971169
right_wrist,1063.3513,552.0009,0.9734219
left_hip,1365.3315,545.99646,0.9983565
right_hip,1333.0664,542.4916,0.9957547
left_knee,1261.469,695.9511,0.9989845
right_knee,1199.3259,661.90216,0.99611473
left_ankle,1370.5007,854.09314,0.99339575
right_ankle,1221.8567,834.79297,0.98537004
torso_angle,39.91989,,
arm_angle,42.426414,,
