label,x,y,confidence
nose,916.5864,371.92603,0.9404907
left_eye,0.0,0.0,0.33292928
right_eye,911.3912,361.2823,0.97677463
left_ear,0.0,0.0,0.04298779
right_ear,883.50464,359.0938,0.9857573
left_shoulder,856.93494,396.4062,0.9007996
right_shoulder,862.49286,404.51184,0.998362
left_elbow,0.0,0.0,0.23177975
right_elbow,915.57806,472.41815,0.9953831
left_wrist,0.0,0.0,0.28329635
right_wrist,983.751,504.3489,0.9878632
left_hip,809.4069,531.6164,0.9658401
right_hip,803.1904,539.65845,0.99614537
left_knee,907.5043,598.8229,0.97549427
right_knee,889.3921,622.5294,0.99798656
left_ankle,869.5978,708.49786,0.9632095
right_ankle,806.2169,722.25494,0.9932974
torso_angle,23.69189,,
arm_angle,50.533894,,
