label,x,y,confidence
nose,1047.9521,454.07483,0.85331345
left_eye,0.0,0.0,0.11218741
right_eye,1044.3606,439.6557,0.84306103
left_ear,0.0,0.0,0.06905439
right_ear,1014.775,428.1847,0.9538968
left_shoulder,891.2316,447.27356,0.98805285
right_shoulder,988.8799,485.60934,0.9956456
left_elbow,922.7583,587.13196,0.9543635
right_elbow,1060.9344,616.9631,0.9953839
left_wrist,1023.1042,676.8543,0.9597352
right_wrist,1154.5554,707.9666,0.9924867
left_hip,758.1228,648.6595,0.97888845
right_hip,821.5829,671.648,0.98392105
left_knee,871.1768,783.08154,0.8912935
right_knee,934.00244,832.19183,0.9318191
left_ankle,0.0,0.0,0.4600228
right_ankle,0.0,0.0,0.4916293
torso_angle,41.963753,,
arm_angle,36.68932,,
