label,x,y,confidence
nose,815.91705,309.42798,0.89822215
left_eye,0.0,0.0,0.19482522
right_eye,810.25433,295.1145,0.96993196
left_ear,0.0,0.0,0.028742861
right_ear,778.1553,292.2713,0.99126726
left_shoulder,746.1202,346.7564,0.9008382
right_shoulder,734.9087,348.80228,0.99872464
left_elbow,0.0,0.0,0.14042199
right_elbow,768.9171,439.59363,0.99381703
left_wrist,0.0,0.0,0.12703249
right_wrist,842.93005,513.3183,0.97807777
left_hip,676.46594,496.12564,0.96348035
right_hip,654.6657,516.1155,0.9964503
left_knee,790.0331,549.26086,0.9866171
right_knee,685.3754,659.4726,0.9991346
left_ankle,701.82324,641.31836,0.98963296
right_ankle,676.10724,816.58356,0.9978859
torso_angle,25.622255,,
arm_angle,33.28894,,
