label,x,y,confidence
nose,1071.7513,294.52325,0.97906417
left_eye,1084.4882,271.37097,0.9808786
right_eye,0.0,0.0,0.26151666
left_ear,1149.9551,274.31497,0.9873411
right_ear,0.0,0.0,0.013660767
left_shoulder,1219.4244,378.6786,0.9983864
right_shoulder,1166.665,392.50095,0.99748385
left_elbow,1137.5114,530.2714,0.9974164
right_elbow,1095.7568,535.0287,0.99231356
left_wrist,998.2969,624.2289,0.9972398
right_wrist,991.8285,594.63684,0.99552923
left_hip,1341.0846,626.39026,0.9975834
right_hip,1299.522,635.3103,0.99705005
left_knee,1116.3796,725.1197,0.9970204
right_knee,1153.1595,793.11084,0.9942397
left_ankle,1203.1119,936.8802,0.9656407
right_ankle,1207.0386,974.56824,0.9434841
torso_angle,28.68595,,
arm_angle,40.858017,,
