label,x,y,confidence
nose,908.88904,299.828,0.89015263
left_eye,0.0,0.0,0.1314117
right_eye,905.9839,287.25247,0.8792702
left_ear,0.0,0.0,0.052605122
right_ear,875.67505,285.1692,0.9461667
left_shoulder,762.1312,323.11603,0.9810084
right_shoulder,842.58044,335.54947,0.99614966
left_elbow,804.67163,436.06958,0.9459383
right_elbow,919.5771,449.9338,0.9976501
left_wrist,892.5021,491.11514,0.9773701
right_wrist,1025.8364,514.21844,0.9980646
left_hip,696.6872,525.2549,0.9920101
right_hip,757.0882,530.0499,0.9955842
left_knee,794.3932,650.4291,0.9887871
right_knee,902.63617,611.4475,0.9950288
left_ankle,719.4501,790.6661,0.93021744
right_ankle,848.64404,775.8567,0.9586443
torso_angle,23.727793,,
arm_angle,45.726128,,
