label,x,y,confidence
nose,674.3372,453.24417,0.8823376
left_eye,678.41907,440.97906,0.89293176
right_eye,0.0,0.0,0.085902475
left_ear,711.7818,439.8512,0.9729189
right_ear,0.0,0.0,0.017924596
left_shoulder,744.08704,488.42267,0.9939507
right_shoulder,807.3218,481.1551,0.98439276
left_elbow,664.717,599.68024,0.99459165
right_elbow,763.14575,613.3513,0.97116166
left_wrist,578.60803,677.491,0.9949956
right_wrist,682.8147,680.4502,0.98541105
left_hip,833.15796,689.76776,0.9962269
right_hip,874.8639,678.64886,0.9938812
left_knee,724.6785,843.9783,0.9885593
right_knee,776.78955,815.27673,0.9756732
left_ankle,706.7973,1000.91547,0.8360478
right_ankle,853.99475,937.368,0.78184533
torso_angle,18.880499,,
arm_angle,31.994558,,
