label,x,y,confidence
nose,974.6666,370.93588,0.9749248
left_eye,984.7794,362.12482,0.97933954
right_eye,0.0,0.0,0.44587356
left_ear,1019.8936,366.6607,0.9774703
right_ear,0.0,0.0,0.025122175
left_shoulder,1058.177,415.05,0.995811
right_shoulder,1008.62274,418.04672,0.9905111
left_elbow,1024.8846,503.0678,0.9912389
right_elbow,975.1139,496.4511,0.968288
left_wrist,965.1273,553.515,0.98998976
right_wrist,928.29144,540.6401,0.9786971
left_hip,1102.9155,543.4822,0.9959485
right_hip,1068.995,550.35004,0.99399614
left_knee,1000.9909,582.48975,0.9944449
right_knee,1003.21765,635.8684,0.9899484
left_ankle,1018.50757,702.2306,0.9741987
right_ankle,1032.8839,736.99493,0.9594296
torso_angle,24.528025,,
arm_angle,33.235474,,
