label,x,y,confidence
nose,852.36127,385.78354,0.824145
left_eye,0.0,0.0,0.1379903
right_eye,848.8508,374.70483,0.91747934
left_ear,0.0,0.0,0.03530949
right_ear,822.43005,371.63452,0.9781226
left_shoulder,786.09485,415.4252,0.9316396
right_shoulder,786.50024,428.18427,0.9979943
left_elbow,0.0,0.0,0.39571124
right_elbow,840.65234,507.45325,0.9948571
left_wrist,0.0,0.0,0.3568667
right_wrist,920.8882,547.0476,0.98578864
left_hip,773.13153,579.2085,0.9718596
right_hip,767.6384,602.18256,0.9956554
left_knee,865.85583,625.1096,0.97350615
right_knee,820.0757,711.42786,0.9970873
left_ankle,796.89355,726.2711,0.9633672
right_ankle,805.1274,845.67975,0.9902076
torso_angle,6.186814,,
arm_angle,48.507908,,
