label,x,y,confidence
nose,776.37396,426.98395,0.9145684
left_eye,779.28973,421.94366,0.9618965
right_eye,0.0,0.0,0.27144858
left_ear,792.80566,420.93958,0.97347426
right_ear,0.0,0.0,0.02404021
left_shoulder,810.89667,441.03516,0.9929756
right_shoulder,809.41864,436.73358,0.9031809
left_elbow,785.26404,472.61655,0.9745846
right_elbow,0.0,0.0,0.21697168
left_wrist,757.62585,476.5086,0.934635
right_wrist,0.0,0.0,0.23491916
left_hip,842.6044,498.4596,0.98724556
right_hip,838.5729,494.6582,0.9453687
left_knee,815.10803,533.41797,0.9904034
right_knee,796.4277,524.96124,0.94135994
left_ankle,843.3016,581.8333,0.9825048
right_ankle,801.5586,578.54834,0.931882
torso_angle,26.716728,,
arm_angle,61.650276,,
