label,x,y,confidence
nose,1000.6721,431.45538,0.8720512
left_eye,0.0,0.0,0.10317785
right_eye,1002.377,417.68976,0.89221185
left_ear,0.0,0.0,0.026658352
right_ear,975.9087,402.91846,0.96249676
left_shoulder,882.0112,422.59836,0.988782
right_shoulder,934.4823,438.24677,0.9966427
left_elbow,894.3805,562.8144,0.9686074
right_elbow,982.1459,569.3243,0.9973272
left_wrist,967.78217,622.1642,0.98010147
right_wrist,1063.2727,634.45703,0.99733585
left_hip,754.05865,582.7312,0.99205506
right_hip,778.63605,598.0757,0.9947665
left_knee,866.83044,689.90094,0.993256
right_knee,846.90326,759.7198,0.9963613
left_ankle,792.47363,829.7068,0.96647
right_ankle,796.5111,897.507,0.96930814
torso_angle,44.27717,,
arm_angle,33.280483,,
