label,x,y,confidence
nose,665.79944,330.9182,0.9635756
left_eye,669.6942,324.96777,0.9889414
right_eye,0.0,0.0,0.20884831
left_ear,687.83826,323.97412,0.99611723
right_ear,0.0,0.0,0.005480501
left_shoulder,708.46844,348.36063,0.9983071
right_shoulder,699.3729,347.06076,0.9793819
left_elbow,669.5174,391.2454,0.9937216
right_elbow,686.4077,394.92764,0.5904923
left_wrist,629.6896,426.15588,0.98305285
right_wrist,655.7444,424.01135,0.5896
left_hip,745.0909,431.6502,0.99856037
right_hip,729.5464,421.41107,0.99456936
left_knee,706.6271,498.52057,0.9994947
right_knee,671.133,453.4485,0.9971318
left_ankle,710.17255,582.2386,0.9987274
right_ankle,695.7368,506.40625,0.995748
torso_angle,22.088713,,
arm_angle,29.551865,,
