label,x,y,confidence
nose,1264.0352,220.5835,0.6093011
left_eye,0.0,0.0,0.049449254
right_eye,1267.3606,204.84755,0.6312289
left_ear,0.0,0.0,0.032379825
right_ear,1248.7719,186.89847,0.9193259
left_shoulder,1159.3752,216.09677,0.97492427
right_shoulder,1195.7524,235.19861,0.9916225
left_elbow,1133.2966,353.36438,0.9022719
right_elbow,1228.824,351.67923,0.98728335
left_wrist,1207.5371,430.38492,0.9031575
right_wrist,1301.8064,434.3376,0.98028606
left_hip,1010.8431,394.55957,0.9928905
right_hip,1021.68774,412.0686,0.99502015
left_knee,1125.7363,495.4615,0.994327
right_knee,1137.7351,565.7887,0.9968359
left_ankle,1048.2969,654.14905,0.9773284
right_ankle,1064.1738,742.85394,0.980115
torso_angle,44.541996,,
arm_angle,28.038095,,
