label,x,y,confidence
nose,802.3416,213.66042,0.99389476
left_eye,818.23474,191.59796,0.99666387
right_eye,0.0,0.0,0.45138595
left_ear,883.6831,192.10696,0.99412775
right_ear,0.0,0.0,0.0036569387
left_shoulder,948.21155,302.7736,0.9981117
right_shoulder,870.7414,302.9864,0.9929589
left_elbow,940.74774,461.12512,0.99848664
right_elbow,796.83014,420.70322,0.984141
left_wrist,820.5703,565.1503,0.9993024
right_wrist,687.47656,492.18896,0.9949536
left_hip,987.09595,554.4879,0.9994087
right_hip,929.7506,537.62244,0.99866915
left_knee,833.3696,713.21344,0.9994815
right_knee,776.35565,643.1752,0.9980306
left_ankle,983.3004,876.2468,0.9932922
right_ankle,837.37964,841.3114,0.98591936
torso_angle,14.116704,,
arm_angle,44.08669,,
