label,x,y,confidence
nose,1153.7075,263.96304,0.9781069
left_eye,1165.0586,240.89645,0.9881301
right_eye,0.0,0.0,0.15092078
left_ear,1233.0342,232.13054,0.99416035
right_ear,0.0,0.0,0.0030050827
left_shoulder,1305.252,317.84662,0.9974668
right_shoulder,1259.8408,327.1324,0.9967283
left_elbow,1199.9526,454.9791,0.99554765
right_elbow,1159.7579,457.5194,0.987783
left_wrist,1051.8077,544.26135,0.9953542
right_wrist,1043.225,524.6686,0.99180764
left_hip,1398.3193,562.9432,0.99906963
right_hip,1354.1487,566.7112,0.9990226
left_knee,1170.2242,640.2731,0.99947625
right_knee,1149.6052,696.48285,0.9991009
left_ankle,1299.3091,848.3022,0.9964959
right_ankle,1200.8127,952.4445,0.9946136
torso_angle,21.486591,,
arm_angle,47.637707,,
